user,sensor,value,charge,state,timestamp
prothetic1,temp_1,12.23,11.55,ON,1780505820756496896
prothetic1,temp_1,12.45,11.54,ON,1780505822756496896
prothetic1,temp_1,12.55,11.54,ON,1780505824756496896
prothetic1,temp_1,0,0,OFF,1780505826756496896
prothetic1,temp_1,0,0,OFF,1780505828756496896
prothetic1,temp_1,12.44,12,ON,1780505830756496896
prothetic1,press_1,55.1,11.55,ON,1780505820756496896
prothetic1,press_1,56.2,11.54,ON,1780505822756496896
prothetic1,press_1,57.1,11.54,ON,1780505824756496896
prothetic1,press_1,0,0,OFF,1780505826756496896
prothetic1,press_1,0,0,OFF,1780505828756496896
prothetic1,press_1,56.3,12,ON,1780505830756496896
prothetic2,acc_1,4.8,100,ON,1780505820756496896
prothetic2,acc_1,5.0,100,ON,1780505822756496896
prothetic2,acc_1,5.0,100,ON,1780505824756496896
prothetic2,acc_1,4.5,100,ON,1780505826756496896
prothetic2,acc_1,4.3,99.9,ON,1780505828756496896
prothetic2,acc_1,1.3,99.9,ON,1780505830756496896
prothetic2,ang_1,10,100,ON,1780505820756496896
prothetic2,ang_1,15,100,ON,1780505822756496896
prothetic2,ang_1,17,100,ON,1780505824756496896
prothetic2,ang_1,10,100,ON,1780505826756496896
prothetic2,ang_1,8,9.9,ON,1780505828756496896
prothetic2,ang_1,11,9.9,ON,1780505830756496896
prothetic3,emg_1,0,0,OFF,1780505820756496896
prothetic3,emg_1,0,0,OFF,1780505822756496896
prothetic3,emg_1,0,0,OFF,1780505824756496896
prothetic3,emg_1,0,0,OFF,1780505826756496896
prothetic3,emg_1,0,0,OFF,1780505828756496896
prothetic3,emg_1,0,0,OFF,1780505830756496896
john.doe,emg_2,3.4,11.3,ON,1780505820756496896
john.doe,emg_2,3.4,11.3,ON,1780505822756496896
john.doe,emg_2,3.5,11.3,ON,1780505824756496896
john.doe,emg_2,3.5,11.2,ON,1780505826756496896
john.doe,emg_2,3.4,11.2,ON,1780505828756496896
john.doe,emg_2,3.4,11.1,ON,1780505830756496896
alex.johnson,ang_2,-45,87.2,ON,1780505820756496896
alex.johnson,ang_2,-40,87.2,ON,1780505822756496896
alex.johnson,ang_2,-39,87.2,ON,1780505824756496896
alex.johnson,ang_2,-42,87.2,ON,1780505826756496896
alex.johnson,ang_2,-45,87.1,ON,1780505828756496896
alex.johnson,ang_2,-47,87.1,ON,1780505830756496896
